Position,Players,Matches,Innings,Overs,Runs,Wickets,Bowling Figures,Average,Economy,Strike Rate,Four Wickets in an Over,Five Wickets in an Over
72,Trent Boult,28,28,108.3,957,33,0,29.00,8.82,19.72,0,0
73,Murali Kartik,56,55,191.3,"1,388",31,0,44.77,7.24,37.06,0,0
74,Pawan Negi,43,38,108.1,837,31,0,27.00,7.73,20.93,1,0
75,Thisara Perera,37,36,116.2,"1,016",31,0,32.77,8.73,22.51,0,0
76,Azhar Mahmood,23,23,89.3,700,29,0,24.13,7.82,18.51,0,0
77,Ajit Agarkar,42,42,130.2,"1,151",29,0,39.68,8.83,26.96,0,0
78,Daniel Vettori,34,34,129.3,879,28,0,31.39,6.78,27.75,0,0
79,Krunal Pandya,39,37,111.2,793,28,0,28.32,7.12,23.85,0,0
80,Dirk Nannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0
81,Pravin Tambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0
82,Amit Singh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0
83,Shardul Thakur,26,26,87.5,784,28,0,28.00,8.92,18.82,0,0
84,Hardik Pandya,50,44,102.2,923,28,0,32.96,9.01,21.92,0,0
85,MF Maharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0
86,Angelo Mathews,49,44,131.5,"1,079",27,0,39.96,8.18,29.29,1,0
87,Tim Southee,37,37,139,"1,175",27,0,43.51,8.45,30.88,0,0
88,Wayne Parnell,26,26,95.2,701,26,0,26.96,7.35,22.00,0,0
89,Johan Botha,34,34,115.4,800,25,0,32.00,6.91,27.76,0,0
90,Suresh Raina,176,68,150.2,"1,112",25,0,44.48,7.39,36.08,0,0
91,Brett Lee,38,38,145.5,"1,095",25,0,43.80,7.50,35.00,0,0
92,Harmeet Singh Bansal,27,26,84.3,674,25,0,26.96,7.97,20.28,0,0
93,Chris Woakes,18,18,62.2,576,25,0,23.04,9.24,14.96,0,0
94,Mustafizur Rahman,24,24,91.1,685,24,0,28.54,7.51,22.79,0,0
95,JP Duminy,83,49,113,834,23,0,36.26,7.38,29.47,1,0
96,Brad Hogg,21,21,76.2,570,23,0,24.78,7.46,19.91,1,0
97,Shaun Tait,21,21,78.5,640,23,0,27.82,8.11,20.56,0,0
98,Sohail Tanvir,11,11,41.1,266,22,0,12.09,6.46,11.22,1,1
99,Ben Hilfenhaus,17,17,62,479,22,0,21.77,7.72,16.90,0,0
100,Roelof van der Merwe,21,21,73.5,498,21,0,23.71,6.74,21.09,0,0
