Position,Players,Matches,Innings,Overs,Runs,Wickets,Dot Balls,Average,Economy,Strike Rate,Four Wickets in an Over,Five Wickets in an Over
60,Parvinder Awana,33,33,124.3,"1,029",39,293,26.38,8.26,19.15,1,0
61,Sreenath Arvind,38,38,126.4,"1,039",45,290,23.08,8.20,16.88,2,0
62,Rashid Khan,31,31,122,816,38,288,21.47,6.68,19.26,0,0
63,Dirk Nannes,29,29,107.4,785,28,285,28.03,7.29,23.07,0,0
64,Suresh Raina,176,68,150.2,"1,112",25,279,44.48,7.39,36.08,0,0
65,Moises Henriques,57,55,148.2,"1,244",38,277,32.73,8.38,23.42,0,0
66,Harshal Patel,41,39,131.2,"1,138",41,275,27.75,8.66,19.21,0,0
67,Daniel Vettori,34,34,129.3,879,28,270,31.39,6.78,27.75,0,0
68,Dan Christian,40,40,130.3,"1,037",34,270,30.50,7.94,23.02,0,0
69,Siddarth Kaul,38,38,136.3,"1,143",43,264,26.58,8.37,19.04,1,0
70,Imran Tahir,38,38,140,"1,180",53,261,22.26,8.42,15.84,1,0
71,Yuvraj Singh,128,73,144.5,"1,077",36,258,29.91,7.43,24.13,2,0
72,Johan Botha,34,34,115.4,800,25,254,32.00,6.91,27.76,0,0
73,Doug Bollinger,27,27,96,693,37,254,18.72,7.21,15.56,1,0
74,Ajit Agarkar,42,42,130.2,"1,151",29,254,39.68,8.83,26.96,0,0
75,Trent Boult,28,28,108.3,957,33,253,29.00,8.82,19.72,0,0
76,Nathan Coulter-Nile,26,25,93.5,719,36,247,19.97,7.66,15.63,1,0
77,Mohammed Shami,43,35,118,"1,078",21,245,51.33,9.13,33.71,0,0
78,Wayne Parnell,26,26,95.2,701,26,241,26.96,7.35,22.00,0,0
79,JP Duminy,83,49,113,834,23,234,36.26,7.38,29.47,1,0
80,Mitchell Starc,27,26,96.4,693,34,232,20.38,7.16,17.05,1,0
81,Thisara Perera,37,36,116.2,"1,016",31,227,32.77,8.73,22.51,0,0
82,Angelo Mathews,49,44,131.5,"1,079",27,224,39.96,8.18,29.29,1,0
83,Pawan Negi,43,38,108.1,837,31,213,27.00,7.73,20.93,1,0
84,Ishwar Pandey,25,24,77,591,18,212,32.83,7.67,25.66,0,0
85,Krunal Pandya,39,37,111.2,793,28,211,28.32,7.12,23.85,0,0
86,Pravin Tambe,33,33,110,853,28,204,30.46,7.75,23.57,1,0
87,Shardul Thakur,26,26,87.5,784,28,203,28.00,8.92,18.82,0,0
88,Hardik Pandya,50,44,102.2,923,28,201,32.96,9.01,21.92,0,0
89,Shaun Tait,21,21,78.5,640,23,200,27.82,8.11,20.56,0,0
90,Mustafizur Rahman,24,24,91.1,685,24,199,28.54,7.51,22.79,0,0
91,Azhar Mahmood,23,23,89.3,700,29,199,24.13,7.82,18.51,0,0
92,Kuldeep Yadav,31,30,104.2,858,35,196,24.51,8.22,17.88,1,0
93,Andrew Symonds,39,30,87.5,674,20,190,33.70,7.67,26.35,0,0
94,Amit Singh,23,23,78.5,620,28,189,22.14,7.86,16.89,1,0
95,Stuart Binny,87,58,92,714,21,186,34.00,7.76,26.28,0,0
96,Ben Stokes,25,24,81,619,20,185,30.95,7.64,24.30,0,0
97,Kevon Cooper,25,25,96,757,33,184,22.93,7.88,17.45,1,0
98,Harmeet Singh Bansal,27,26,84.3,674,25,182,26.96,7.97,20.28,0,0
99,Chris Gayle,112,37,91.3,724,18,180,40.22,7.91,30.50,0,0
100,Ben Hilfenhaus,17,17,62,479,22,173,21.77,7.72,16.90,0,0
