Position,Players,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Fifties,Fours,Sixes
78,Quinton de Kock,34,34,1,927,108,28.09,711,130.37,1,6,110,29
79,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
80,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
81,Mandeep Singh,84,72,7,1364,77*,20.98,"1,106",123.32,0,5,150,29
82,Rahul Dravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
83,Subramaniam Badrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
84,Moises Henriques,57,50,16,969,74*,28.50,756,128.17,0,5,87,27
85,Kumar Sangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
86,Thisara Perera,37,30,8,422,40,19.18,307,137.45,0,0,23,26
87,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.56,0,2,55,26
88,Rahul Tripathi,26,26,3,617,93,26.82,434,142.16,0,3,61,25
89,Chris Morris,52,33,20,485,82*,37.30,291,166.66,0,2,36,25
90,Evin Lewis,13,13,0,382,65,29.38,276,138.40,0,2,32,24
91,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,"1,007",114.49,0,9,140,24
92,Owais Shah,23,22,7,506,76,33.73,389,130.07,0,4,34,23
93,Manvinder Bisla,39,39,1,798,92,21.00,702,113.67,0,4,93,23
94,Deepak Hooda,50,38,8,460,54,15.33,349,131.80,0,1,22,23
95,James Faulkner,60,45,20,527,46,21.08,389,135.47,0,0,36,23
96,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
97,Ben Stokes,25,24,2,512,103*,23.27,382,134.03,1,1,35,21
98,Paul Valthaty,23,23,1,505,120*,22.95,418,120.81,1,2,61,20
99,Shakib Al Hasan,60,45,11,737,66*,21.67,579,127.28,0,2,70,20
100,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
